,gis_id,chronology,hierarchy,sb_name,su_name,x,z
477,1413,12,3,topo,,8354.0313,115.948305
478,1414,12,3,topo,,8359.0189,115.991005
479,1415,12,3,topo,,8364.0067,115.35000500000001
480,1417,12,3,topo,,8373.9821,115.47950499999999
481,1418,12,3,topo,,8376.6855,115.65280499999999
482,1519,12,3,topo,,5686.1189,124.00000500000002
483,1520,12,3,topo,,5691.1113,124.00000500000002
484,1521,12,3,topo,,5696.1037,124.00000500000002
485,1522,12,3,topo,,5701.0961,124.00000500000002
486,1523,12,3,topo,,5706.0885,124.00000500000002
487,1524,12,3,topo,,5711.0809,123.42410500000001
488,1525,12,3,topo,,5716.0733,123.054105
489,1526,12,3,topo,,5721.0657,123.00000500000002
490,1527,12,3,topo,,5726.0581,123.00000500000002
491,1528,12,3,topo,,5731.0505,123.00000500000002
492,1529,12,3,topo,,5736.0429,123.00000500000002
493,1530,12,3,topo,,5741.0353,123.00000500000002
494,1531,12,3,topo,,5746.0277,123.00000500000002
495,1532,12,3,topo,,5751.0201,123.00000500000002
496,1533,12,3,topo,,5756.0125,123.699205
497,1534,12,3,topo,,5761.0049,123.302305
498,1535,12,3,topo,,5765.9973,123.600405
499,1536,12,3,topo,,5770.9897,123.264905
500,1537,12,3,topo,,5775.9821,123.00000500000002
501,1538,12,3,topo,,5780.9745,123.00000500000002
502,1539,12,3,topo,,5785.9669,123.00000500000002
503,1540,12,3,topo,,5790.9593,123.00000500000002
504,1541,12,3,topo,,5795.9517,123.00000500000002
505,1542,12,3,topo,,5800.9441,123.00000500000002
506,1543,12,3,topo,,5805.9365,123.00000500000002
507,1544,12,3,topo,,5810.9289,123.00000500000002
508,1545,12,3,topo,,5815.9213,123.00000500000002
509,1546,12,3,topo,,5820.9137,123.00000500000002
510,1547,12,3,topo,,5825.9061,123.625105
511,1548,12,3,topo,,5830.8985,123.927205
512,1554,12,3,topo,,5860.8529,123.333005
513,1555,12,3,topo,,5865.8453,123.00000500000002
514,1556,12,3,topo,,5870.8377,123.00000500000002
515,1557,12,3,topo,,5875.8301,123.00000500000002
516,1558,12,3,topo,,5880.8225,123.00000500000002
517,1559,12,3,topo,,5885.8149,123.00000500000002
518,1560,12,3,topo,,5890.8073,123.00000500000002
519,1561,12,3,topo,,5895.7997,123.00000500000002
520,1621,12,3,topo,,5027.1221,127.00000500000002
521,1622,12,3,topo,,5032.1145,127.00000500000002
522,1623,12,3,topo,,5037.1069,127.00000500000002
523,1624,12,3,topo,,5042.0993,127.00000500000002
524,1625,12,3,topo,,5047.0917,127.00000500000002
525,1626,12,3,topo,,5052.0841,126.22210500000001
526,1627,12,3,topo,,5057.0765,126.01340499999999
